suite,strategy,name,P,omp,part,nprobe,nlist,rerank_k,pqm,ef,topk,test_number,recall,latency_us,qps,n_runs,best_of
scaling,0,Serial-IVF-baseline,1,4,block,16,256,500,8,64,10,2000,0.958303,380.328,2629.31,5,5
scaling,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,372.767,2682.64,5,5
scaling,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,249.57,4006.9,5,5
scaling,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,142.428,7021.07,5,5
scaling,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,324.964,3077.27,5,5
scaling,3,MPI-IVF-reduce,1,4,block,16,256,500,8,64,10,2000,0.958303,406.715,2458.72,5,5
scaling,3,MPI-IVF-reduce,2,4,block,16,256,500,8,64,10,2000,0.961103,239.137,4181.71,5,5
scaling,3,MPI-IVF-reduce,4,4,block,16,256,500,8,64,10,2000,0.962853,169.606,5896.02,5,5
scaling,3,MPI-IVF-reduce,8,4,block,16,256,500,8,64,10,2000,0.968003,180.443,5541.93,5,5
scaling,5,MPI-IVF-batch,1,4,block,16,256,500,8,64,10,2000,0.9583,381.848,2618.84,5,5
scaling,5,MPI-IVF-batch,2,4,block,16,256,500,8,64,10,2000,0.9611,194.467,5142.26,5,5
scaling,5,MPI-IVF-batch,4,4,block,16,256,500,8,64,10,2000,0.96285,100.488,9951.49,5,5
scaling,5,MPI-IVF-batch,8,4,block,16,256,500,8,64,10,2000,0.968,63.168,15830.8,5,5
scaling,6,MPI-IVF-overlap,1,4,block,16,256,500,8,64,10,2000,0.9583,393.211,2543.16,5,5
scaling,6,MPI-IVF-overlap,2,4,block,16,256,500,8,64,10,2000,0.9611,206.333,4846.53,5,5
scaling,6,MPI-IVF-overlap,4,4,block,16,256,500,8,64,10,2000,0.96285,121.764,8212.61,5,5
scaling,6,MPI-IVF-overlap,8,4,block,16,256,500,8,64,10,2000,0.968,98.109,10192.7,5,5
merge,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,372.987,2681.06,5,5
merge,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,221.833,4507.91,5,5
merge,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,154.572,6469.46,5,5
merge,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,403.462,2478.55,5,5
merge,3,MPI-IVF-reduce,1,4,block,16,256,500,8,64,10,2000,0.958303,370.05,2702.34,5,5
merge,3,MPI-IVF-reduce,2,4,block,16,256,500,8,64,10,2000,0.961103,238.638,4190.45,5,5
merge,3,MPI-IVF-reduce,4,4,block,16,256,500,8,64,10,2000,0.962853,154.464,6474.0,5,5
merge,3,MPI-IVF-reduce,8,4,block,16,256,500,8,64,10,2000,0.968003,330.407,3026.57,5,5
comm,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,392.237,2549.48,5,5
comm,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,199.177,5020.66,5,5
comm,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,137.61,7266.91,5,5
comm,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,466.424,2143.97,5,5
comm,5,MPI-IVF-batch,1,4,block,16,256,500,8,64,10,2000,0.9583,374.779,2668.24,5,5
comm,5,MPI-IVF-batch,2,4,block,16,256,500,8,64,10,2000,0.9611,195.345,5119.15,5,5
comm,5,MPI-IVF-batch,4,4,block,16,256,500,8,64,10,2000,0.96285,98.225,10180.7,5,5
comm,5,MPI-IVF-batch,8,4,block,16,256,500,8,64,10,2000,0.968,63.114,15844.3,5,5
comm,6,MPI-IVF-overlap,1,4,block,16,256,500,8,64,10,2000,0.9583,414.475,2412.69,5,5
comm,6,MPI-IVF-overlap,2,4,block,16,256,500,8,64,10,2000,0.9611,206.177,4850.2,5,5
comm,6,MPI-IVF-overlap,4,4,block,16,256,500,8,64,10,2000,0.96285,120.18,8320.85,5,5
comm,6,MPI-IVF-overlap,8,4,block,16,256,500,8,64,10,2000,0.968,77.102,12969.8,5,5
partition,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,393.836,2539.12,5,5
partition,1,MPI-IVF-block-gather,2,4,block,16,256,500,8,64,10,2000,0.961103,230.139,4345.2,5,5
partition,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,144.831,6904.62,5,5
partition,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,327.674,3051.81,5,5
partition,2,MPI-IVF-cyclic-gather,1,4,cyclic,16,256,500,8,64,10,2000,0.958303,385.992,2590.73,5,5
