suite,strategy,name,P,omp,part,nprobe,nlist,rerank_k,pqm,ef,topk,test_number,recall,latency_us,qps,n_runs,best_of
hybrid,1,MPI-IVF-block-gather,4,4,block,16,256,500,8,64,10,2000,0.962853,144.087,6940.25,5,5
hybrid,1,MPI-IVF-block-gather,8,4,block,16,256,500,8,64,10,2000,0.968003,214.789,4655.73,5,5
pq,7,MPI-IVFPQ-m1,1,4,block,16,256,500,8,64,10,2000,0.910653,464.622,2152.29,5,5
pq,7,MPI-IVFPQ-m1,2,4,block,16,256,500,8,64,10,2000,0.949304,357.691,2795.71,5,5
pq,7,MPI-IVFPQ-m1,4,4,block,16,256,500,8,64,10,2000,0.961802,277.356,3605.47,5,5
pq,7,MPI-IVFPQ-m1,8,4,block,16,256,500,8,64,10,2000,0.968003,346.443,2886.48,5,5
pq,9,MPI-IVFPQ-m2,1,4,block,16,256,500,8,64,10,2000,0.937454,787.453,1269.92,5,5
pq,9,MPI-IVFPQ-m2,2,4,block,16,256,500,8,64,10,2000,0.948653,692.073,1444.93,5,5
pq,9,MPI-IVFPQ-m2,4,4,block,16,256,500,8,64,10,2000,0.962802,749.807,1333.68,5,5
pq,9,MPI-IVFPQ-m2,8,4,block,16,256,500,8,64,10,2000,0.968003,4702.06,212.67,5,5
pq,8,MPI-IVFPQ-m1-omp,2,4,block,16,256,500,8,64,10,2000,0.960653,1159.42,862.5,5,5
pq,10,MPI-IVFPQ-m2-omp,2,4,block,16,256,500,8,64,10,2000,0.961053,428.948,2331.29,5,5
hnsw,11,MPI-HNSW,1,4,block,16,256,500,8,64,10,2000,0.981002,431.952,2315.07,5,5
hnsw,11,MPI-HNSW,2,4,block,16,256,500,8,64,10,2000,0.992151,649.248,1540.24,5,5
hnsw,11,MPI-HNSW,4,4,block,16,256,500,8,64,10,2000,0.9969,913.668,1094.49,5,5
hnsw,11,MPI-HNSW,8,4,block,16,256,500,8,64,10,2000,0.9987,3339.45,299.45,5,5
hnsw,12,MPI-HNSW-omp,2,4,block,16,256,500,8,64,10,2000,0.99875,536.569,1863.69,5,5
hnsw,13,MPI-IVF-HNSW,1,4,block,16,256,500,8,64,10,2000,0.958003,1986.7,503.35,5,5
hnsw,13,MPI-IVF-HNSW,2,4,block,16,256,500,8,64,10,2000,0.958003,1377.44,725.98,5,5
hnsw,13,MPI-IVF-HNSW,4,4,block,16,256,500,8,64,10,2000,0.958003,1249.83,800.11,5,5
hnsw,13,MPI-IVF-HNSW,8,4,block,16,256,500,8,64,10,2000,0.958003,2878.29,347.43,5,5
hnsw,14,HNSW-on-HNSW,1,4,block,16,256,500,8,64,10,2000,0.958003,2060.12,485.41,5,5
hnsw,14,HNSW-on-HNSW,2,4,block,16,256,500,8,64,10,2000,0.958003,1467.6,681.39,5,5
hnsw,14,HNSW-on-HNSW,4,4,block,16,256,500,8,64,10,2000,0.958003,1232.21,811.55,5,5
hnsw,14,HNSW-on-HNSW,8,4,block,16,256,500,8,64,10,2000,0.958003,1464.07,683.03,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,4,256,500,8,64,10,2000,0.800152,103.012,9707.61,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,8,256,500,8,64,10,2000,0.898553,187.439,5335.07,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,16,256,500,8,64,10,2000,0.958303,369.996,2702.73,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,32,256,500,8,64,10,2000,0.987552,740.669,1350.13,5,5
nprobe,1,MPI-IVF-block-gather,1,4,block,64,256,500,8,64,10,2000,0.9974,1364.77,732.72,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,4,256,500,8,64,10,2000,0.783602,255.326,3916.57,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,8,256,500,8,64,10,2000,0.865403,336.505,2971.72,5,5
nprobe_pq,7,MPI-IVFPQ-m1,1,4,block,16,256,500,8,64,10,2000,0.910653,439.997,2272.74,5,5
