group,strategy,rerank_k,nprobe,nlist,threads,ef,recall,latency_us
threads,11,500,16,256,4,64,0.953653,301.05
threads,12,500,16,256,4,64,0.953503,393.89
threads,14,500,16,256,4,64,0.957903,434.48
threads,15,500,16,256,4,64,0.957503,493.52
threads,1,-,-,256,8,64,0.99995,965.33
threads,2,-,-,256,8,64,0.99995,1801.30
threads,5,500,-,256,8,64,0.99915,485.10
threads,6,500,-,256,8,64,0.99915,841.30
threads,8,-,16,256,8,64,0.958303,175.47
threads,9,-,16,256,8,64,0.958303,254.88
threads,11,500,16,256,8,64,0.955953,294.87
threads,12,500,16,256,8,64,0.955753,412.32
threads,14,500,16,256,8,64,0.958053,396.88
threads,15,500,16,256,8,64,0.958103,447.68
