group,strategy,rerank_k,nprobe,nlist,threads,ef,recall,latency_us
flat,0,-,-,256,4,64,0.99995,5981.24
flat,1,-,-,256,1,64,0.99995,5030.96
flat,2,-,-,256,1,64,0.99995,5518.53
flat,1,-,-,256,2,64,0.99995,2901.69
flat,2,-,-,256,2,64,0.99995,3095.90
flat,1,-,-,256,4,64,0.99995,1069.40
flat,2,-,-,256,4,64,0.99995,1714.55
flat,1,-,-,256,8,64,0.99995,2099.03
flat,2,-,-,256,8,64,0.99995,1585.98
pq,3,50,-,256,4,64,0.5669,1086.71
pq,4,50,-,256,4,64,0.5669,1101.90
pq,3,100,-,256,4,64,0.716652,1134.47
pq,4,100,-,256,4,64,0.716652,1162.83
pq,3,200,-,256,4,64,0.839054,1237.21
pq,4,200,-,256,4,64,0.839054,1260.42
pq,3,500,-,256,4,64,0.946104,1476.70
pq,4,500,-,256,4,64,0.946104,1513.63
pq,3,1000,-,256,4,64,0.980602,1860.70
pq,4,1000,-,256,4,64,0.980602,1886.42
pq,5,500,-,256,1,64,0.946104,1511.08
pq,6,500,-,256,1,64,0.946104,1511.44
pq,5,500,-,256,2,64,0.980452,867.81
pq,6,500,-,256,2,64,0.980452,948.96
pq,5,500,-,256,4,64,0.995001,573.63
pq,6,500,-,256,4,64,0.995001,691.82
pq,5,500,-,256,8,64,0.99915,459.51
pq,6,500,-,256,8,64,0.99915,825.95
ivf,7,-,4,256,4,64,0.800152,99.43
ivf,7,-,8,256,4,64,0.898553,193.88
ivf,7,-,16,256,4,64,0.958303,354.99
ivf,7,-,32,256,4,64,0.987552,679.10
ivf,7,-,64,256,4,64,0.9974,1298.52
ivf,8,-,16,256,1,64,0.958303,322.90
ivf,9,-,16,256,1,64,0.958303,403.06
ivf,8,-,16,256,2,64,0.958303,180.01
ivf,9,-,16,256,2,64,0.958303,297.17
ivf,8,-,16,256,4,64,0.958303,157.63
ivf,9,-,16,256,4,64,0.958303,229.79
ivf,8,-,16,256,8,64,0.958303,145.64
ivf,9,-,16,256,8,64,0.958303,263.54
ivf,8,-,4,256,4,64,0.800152,79.94
ivf,9,-,4,256,4,64,0.800152,131.64
ivf,8,-,8,256,4,64,0.898553,103.81
ivf,9,-,8,256,4,64,0.898553,154.23
ivf,8,-,16,256,4,64,0.958303,158.06
ivf,9,-,16,256,4,64,0.958303,219.97
ivf,8,-,32,256,4,64,0.987552,266.49
ivf,9,-,32,256,4,64,0.987552,354.45
ivf,8,-,64,256,4,64,0.9974,454.30
ivf,9,-,64,256,4,64,0.9974,604.87
ivfpq,10,500,4,256,4,64,0.783602,240.22
ivfpq,13,500,4,256,4,64,0.794752,322.92
ivfpq,10,500,8,256,4,64,0.865403,322.55
ivfpq,13,500,8,256,4,64,0.886703,474.01
ivfpq,10,500,16,256,4,64,0.910653,435.80
ivfpq,13,500,16,256,4,64,0.936003,742.73
ivfpq,10,500,32,256,4,64,0.931104,607.54
ivfpq,13,500,32,256,4,64,0.964904,1179.19
ivfpq,10,500,64,256,4,64,0.935904,839.32
ivfpq,13,500,64,256,4,64,0.967504,1825.82
ivfpq,11,500,16,256,1,64,0.910653,450.77
ivfpq,12,500,16,256,1,64,0.910653,491.25
ivfpq,14,500,16,256,1,64,0.936954,761.74
ivfpq,15,500,16,256,1,64,0.937454,846.11
ivfpq,11,500,16,256,2,64,0.942203,374.85
ivfpq,12,500,16,256,2,64,0.941553,413.29
ivfpq,14,500,16,256,2,64,0.954253,542.68
ivfpq,15,500,16,256,2,64,0.953903,620.14
ivfpq,11,500,16,256,4,64,0.953403,289.93
ivfpq,12,500,16,256,4,64,0.953303,369.08
ivfpq,14,500,16,256,4,64,0.957203,391.87
ivfpq,15,500,16,256,4,64,0.957653,463.69
ivfpq,11,500,16,256,8,64,0.956053,273.43
ivfpq,12,500,16,256,8,64,0.955653,383.04
ivfpq,14,500,16,256,8,64,0.958053,362.04
ivfpq,15,500,16,256,8,64,0.958103,427.80
hnsw,16,-,-,256,4,16,0.872254,130.91
hnsw,17,-,-,256,4,16,0.99635,301.85
hnsw,18,-,-,256,4,16,0.99635,456.18
hnsw,16,-,-,256,4,32,0.946903,230.80
hnsw,17,-,-,256,4,32,0.99635,261.26
hnsw,18,-,-,256,4,32,0.99635,422.77
hnsw,16,-,-,256,4,64,0.981802,365.64
hnsw,17,-,-,256,4,64,0.99635,267.68
hnsw,18,-,-,256,4,64,0.99635,466.25
hnsw,16,-,-,256,4,128,0.995401,697.37
hnsw,17,-,-,256,4,128,0.99635,304.85
hnsw,18,-,-,256,4,128,0.99635,427.12
hnsw,16,-,-,256,4,200,0.99795,1055.94
hnsw,17,-,-,256,4,200,0.99635,301.67
hnsw,18,-,-,256,4,200,0.99635,438.58
threads,1,-,-,256,1,64,0.99995,6118.41
threads,2,-,-,256,1,64,0.99995,7544.17
threads,5,500,-,256,1,64,0.946104,1536.71
threads,6,500,-,256,1,64,0.946104,1529.19
threads,8,-,16,256,1,64,0.958303,524.97
threads,9,-,16,256,1,64,0.958303,547.51
threads,11,500,16,256,1,64,0.910653,483.54
threads,12,500,16,256,1,64,0.910653,529.04
threads,14,500,16,256,1,64,0.938853,786.98
threads,15,500,16,256,1,64,0.936254,885.78
threads,1,-,-,256,2,64,0.99995,2871.57
threads,2,-,-,256,2,64,0.99995,3444.29
threads,5,500,-,256,2,64,0.980452,878.29
threads,6,500,-,256,2,64,0.980452,945.04
threads,8,-,16,256,2,64,0.958303,262.75
threads,9,-,16,256,2,64,0.958303,362.43
threads,11,500,16,256,2,64,0.942303,369.91
threads,12,500,16,256,2,64,0.942253,443.65
threads,14,500,16,256,2,64,0.953903,613.45
threads,15,500,16,256,2,64,0.953003,647.62
threads,1,-,-,256,4,64,0.99995,1569.81
threads,2,-,-,256,4,64,0.99995,2095.26
threads,5,500,-,256,4,64,0.995001,596.46
threads,6,500,-,256,4,64,0.995001,713.17
threads,8,-,16,256,4,64,0.958303,191.15
threads,9,-,16,256,4,64,0.958303,261.80
