strategy,name,nlist,nprobe,group_mode,group_name,group_B,rerank_k,PQ_M,PQ_KSUB,M,k,reps,recall,cpu_recall,gpu_ms,gpu_us_per_query,cpu_ms,speedup,overlap
2,IVF-exact,256,16,3,query-kmeans,1024,100,8,256,2000,10,5,0.9583,0.9583,112.740,56.37,68.685,0.609,0.064
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,50,4,256,2000,10,5,0.3140,0.9910,121.737,60.87,262.734,2.158,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,100,4,256,2000,10,5,0.4543,0.9910,215.548,107.77,259.271,1.203,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,200,4,256,2000,10,5,0.6121,0.9910,415.652,207.83,254.073,0.611,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,50,8,256,2000,10,5,0.5472,0.9910,120.752,60.38,254.763,2.110,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,100,8,256,2000,10,5,0.6961,0.9910,214.913,107.46,251.269,1.169,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,200,8,256,2000,10,5,0.8215,0.9910,403.662,201.83,254.126,0.630,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,50,16,256,2000,10,5,0.8104,0.9910,128.627,64.31,249.297,1.938,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,100,16,256,2000,10,5,0.9153,0.9910,223.718,111.86,253.603,1.134,0.250
3,IVF-PQ-global+rerank,64,16,1,by-primary,512,200,16,256,2000,10,5,0.9681,0.9910,412.257,206.13,250.990,0.609,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,50,4,256,2000,10,5,0.6801,0.9910,136.349,68.17,252.376,1.851,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,100,4,256,2000,10,5,0.8080,0.9910,230.824,115.41,251.475,1.089,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,200,4,256,2000,10,5,0.8993,0.9910,419.464,209.73,251.098,0.599,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,50,8,256,2000,10,5,0.8178,0.9910,131.315,65.66,252.243,1.921,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,100,8,256,2000,10,5,0.9136,0.9910,226.620,113.31,250.405,1.105,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,200,8,256,2000,10,5,0.9653,0.9910,416.384,208.19,253.017,0.608,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,50,16,256,2000,10,5,0.9459,0.9910,146.287,73.14,249.490,1.705,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,100,16,256,2000,10,5,0.9822,0.9910,241.153,120.58,257.070,1.066,0.250
4,IVF-PQ-percluster+rerank,64,16,1,by-primary,512,200,16,256,2000,10,5,0.9901,0.9910,432.431,216.22,256.969,0.594,0.250
